Comment,Designator,Footprint,LCSC
"CR2450","BT1","BatteryHolders:BS-24-B4AK014","C964813"
"1u","C1,C7","Capacitor_SMD:C_0402_1005Metric","C52923"
"4.7u","C10","Capacitor_SMD:C_1206_3216Metric","C29823"
"10u_0402","C15","Capacitor_SMD:C_0402_1005Metric","C315248"
"100n","C2,C5,C6,C11,C12,C13,C14","Capacitor_SMD:C_0402_1005Metric","C307331"
"10u","C3,C4,C8,C9","Capacitor_SMD:C_0805_2012Metric","C15850"
"SD103AWS","D1","Diode_SMD:D_SOD-323","C181207"
"Green_0603","D2,D3,D4,D5","LED_SMD:LED_0603_1608Metric","C72043"
"MountingHole","H1,H2,H3","personal:MountingHole_2.2mm_M2_Small",""
"ESP32-C3-MINI-1-N4","IC1","ESP32C3MINI1N4","C2838502"
"XC6227C331MR-G","IC2","SOT95P280X130-5N","C216640"
"BQ24073RGTR","IC3","QFN50P300X300X100-17N-D","C15220"
"LSM6DSLTR","IC4","LSM6DSLTR","C126672"
"CP2102N-A02-GQFN28R","IC5","QFN50P500X500X80-29N-D","C6568"
"GT-USB-7010","J1","Connectors_JT:GT-USB-7010A","C963370"
"MUN5214DW1T1G","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6","C94403"
"10k","R1,R3,R12,R13,R14,R15,R18,R19","Resistor_SMD:R_0402_1005Metric","C25744"
"560k","R16","Resistor_SMD:R_0603_1608Metric","C23203"
"220k","R17","Resistor_SMD:R_0402_1005Metric","C25767"
"2.2k","R2,R10,R11","Resistor_SMD:R_0402_1005Metric","C25879"
"1k","R4,R20","Resistor_SMD:R_0402_1005Metric","C11702"
"47.5k","R5","Resistor_SMD:R_0402_1005Metric","C227098"
"0","R6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17477"
"1.5k","R7,R9","Resistor_SMD:R_0402_1005Metric","C25867"
"100k","R8","Resistor_SMD:R_0402_1005Metric","C25741"
"TS-1101-C-W","S1,S2","TS1101CW","C318938"
"K3-1296S-E1","S3","K31296SE1","C128955"
"10k_NTC","TH1","Resistor_SMD:R_0402_1005Metric","C333993"
"TestPoint_Alt","TP11","TestPoint:TestPoint_Pad_1.0x1.0mm",""
