Comment,Designator,Footprint,LCSC
"ANT3216LL00R2400A","AE1","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C293767"
"CR2450","BT1","BatteryHolders:BS-24-B4AK014","C964813"
"100n","C1,C2,C8,C9,C10,C11","Capacitor_SMD:C_0402_1005Metric","C307331"
"10u","C3,C5","Capacitor_SMD:C_0805_2012Metric","C15850"
"1u","C4,C6,C7","Capacitor_SMD:C_0603_1608Metric","C52923"
"SD103AWS","D1,D3","Diode_SMD:D_SOD-323","C181207"
"RedLED_0402","D2,D4","Diode_SMD:D_0402_1005Metric","C130719"
"LSM6DSLTR","IC1","LSM6DSLTR",""
"W25Q64JVSSIQ","IC2","SOIC127P790X216-8N","C83140"
"ESP32-PICO-D4","IC3","ESP32-PICO-D4_1","C193707"
"CP2104-F03-GMR","IC4","QFN50P400X400X80-25N-D","C47742"
"TP4065-4.2V-SOT25-R","IC5","SOT95P280X125-5N",""
"XC6206P302MR-G","IC6","SOT95P280X130-3N",""
"10118193-0001LF","J1","101181930001LF",""
"MUN5214DW1T1G","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6","C94403"
"PCJ3139K","Q2","Package_TO_SOT_SMD:SOT-723",""
"100k","R1,R6,R10","Resistor_SMD:R_0402_1005Metric","C25741"
"2.2k","R2,R3","Resistor_SMD:R_0402_1005Metric","C25879"
"10k","R4,R5,R7","Resistor_SMD:R_0402_1005Metric","C25744"
"560k","R8","Resistor_SMD:R_0603_1608Metric","C23203"
"220k","R9","Resistor_SMD:R_0402_1005Metric","C25767"
"TS-1101-C-W","S1","TS1101CW","C318938"
"USB Test Point","TP1","personal:USB_TestPoint",""
"TestPoint_Alt","TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11","TestPoint:TestPoint_Pad_1.0x1.0mm",""
