Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"AE1","ANT3216LL00R2400A","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",130.475000,-88.975000,-90.000000,top
"C1","100n","C_0402_1005Metric",149.600000,-97.420000,90.000000,top
"C2","100n","C_0402_1005Metric",149.600000,-95.500000,-90.000000,top
"C3","10u","C_0805_2012Metric",152.650000,-93.400000,90.000000,top
"C4","10u","C_0805_2012Metric",145.295000,-85.900000,180.000000,top
"C5","10u","C_0805_2012Metric",152.205000,-89.200000,180.000000,top
"C6","10u","C_0805_2012Metric",141.295000,-82.900000,0.000000,top
"C7","1u","C_0402_1005Metric",136.200000,-104.200000,90.000000,top
"C8","100n","C_0402_1005Metric",157.100000,-97.580000,90.000000,top
"C9","100n","C_0402_1005Metric",137.350000,-94.400000,90.000000,top
"C10","100n","C_0402_1005Metric",134.800000,-96.850000,180.000000,top
"C11","100n","C_0402_1005Metric",141.530000,-110.850000,180.000000,top
"C12","100n","C_0402_1005Metric",136.300000,-94.400000,90.000000,top
"C13","100n","C_0402_1005Metric",143.000000,-100.800000,0.000000,top
"C14","1u","C_0402_1005Metric",138.300000,-102.250000,0.000000,top
"C15","100n","C_0402_1005Metric",134.800000,-97.850000,180.000000,top
"C16","10u","C_0805_2012Metric",138.195000,-85.900000,90.000000,top
"C17","100n","C_0402_1005Metric",156.550000,-99.550000,0.000000,top
"C18","10u","C_0805_2012Metric",155.600000,-96.800000,90.000000,top
"C19","4p","C_0402_1005Metric",135.300000,-91.985000,0.000000,top
"C20","3p","C_0402_1005Metric",143.650000,-92.680000,90.000000,top
"C21","5p","C_0402_1005Metric",134.375000,-94.925000,180.000000,top
"C22","3p","C_0402_1005Metric",138.350000,-92.650000,-90.000000,top
"D1","SD103AWS","D_SOD-323",155.950000,-93.300000,0.000000,top
"D2","Green_0603","LED_0603_1608Metric",157.800000,-86.750000,-90.000000,top
"D3","SD103AWS","D_SOD-323",148.900000,-84.700000,0.000000,top
"IC1","LSM6DSLTR","LSM6DSLTR",147.500000,-96.300000,90.000000,top
"IC2","W25Q64JVSSIQ","SOIC127P790X216-8N",147.200000,-108.950000,180.000000,top
"IC3","BQ25100YFPR","BGA6C40P2X3_88X158X50",155.940000,-84.800000,180.000000,top
"IC4","ESP32-C3FH4","QFN50P500X500X90-33N-D",138.900000,-98.575000,0.000000,top
"IC6","XC6227C331MR-G","SOT95P280X130-5N",141.395000,-85.800000,180.000000,top
"IC8","CP2102N-A02-GQFN28R","QFN50P500X500X80-29N-D",152.350000,-101.700000,180.000000,top
"J1","GT-USB-7010","GT-USB-7010A",161.625000,-95.450000,90.000000,top
"L1","1.8nH","L_0402_1005Metric",134.825000,-93.450000,-90.000000,top
"Q1","MUN5214DW1T1G","SOT-363_SC-70-6",138.400000,-105.050000,180.000000,top
"Q2","PCJ3139K","SOT-723",148.200000,-86.700000,-90.000000,top
"R1","100k","R_0402_1005Metric",149.700000,-86.700000,90.000000,top
"R2","2.2k","R_0402_1005Metric",155.950000,-86.650000,180.000000,top
"R3","3.3k","R_0402_1005Metric",153.950000,-84.800000,180.000000,top
"R4","10k","R_0402_1005Metric",145.400000,-95.400000,-90.000000,top
"R5","10k","R_0402_1005Metric",145.400000,-97.410000,90.000000,top
"R6","3.3k","R_0402_1005Metric",157.940000,-84.400000,0.000000,top
"R7","10k","R_0402_1005Metric",135.700000,-105.700000,0.000000,top
"R8","560k","R_0603_1608Metric",158.350000,-111.250000,180.000000,top
"R9","220k","R_0402_1005Metric",140.200000,-102.250000,180.000000,top
"R10","100k","R_0402_1005Metric",134.700000,-104.650000,180.000000,top
"R11","100k","R_0402_1005Metric",144.600000,-84.300000,180.000000,top
"R12","1k","R_0402_1005Metric",153.350000,-97.600000,-90.000000,top
"R13","DNF_0402","R_0402_1005Metric",152.350000,-97.610000,90.000000,top
"S1","TS-1101-C-W","TS1101CW",134.450000,-109.400000,180.000000,top
"S2","K3-1296S-E1","K31296SE1",163.700000,-106.800000,-90.000000,top
"Y1","XXEBCCNAOD-40.000000MHZ","Crystal_SMD_3225-4Pin_3.2x2.5mm",141.000000,-92.800000,0.000000,top
