Comment,Designator,Footprint,LCSC
"ANT3216LL00R2400A","AE1","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C293767"
"CR2450","BT1","BatteryHolders:BS-24-B4AK014","C964813"
"100n","C1,C2,C8,C9,C10,C11,C12,C13,C15,C17","Capacitor_SMD:C_0402_1005Metric","C307331"
"4p","C19","Capacitor_SMD:C_0402_1005Metric","C311704"
"3p","C20,C22","Capacitor_SMD:C_0402_1005Metric","C126508"
"5p","C21","Capacitor_SMD:C_0402_1005Metric","C1573"
"10u","C3,C4,C5,C6,C16,C18","Capacitor_SMD:C_0805_2012Metric","C15850"
"1u","C7,C14","Capacitor_SMD:C_0402_1005Metric","C52923"
"SD103AWS","D1,D3","Diode_SMD:D_SOD-323","C181207"
"Green_0603","D2","LED_SMD:LED_0603_1608Metric","C72043"
"MountingHole","H1,H2,H3","personal:MountingHole_2.2mm_M2_Small",""
"LSM6DSLTR","IC1","LSM6DSLTR","C126672"
"W25Q64JVSSIQ","IC2","SOIC127P790X216-8N","C83140"
"BQ25100YFPR","IC3","BGA6C40P2X3_88X158X50","C527572"
"ESP32-C3FH4","IC4","QFN50P500X500X90-33N-D","C2858491"
"XC6227C331MR-G","IC6","SOT95P280X130-5N","C216640"
"CP2102N-A02-GQFN28R","IC8","QFN50P500X500X80-29N-D","C6568"
"GT-USB-7010","J1","Connectors_JT:GT-USB-7010A","C963370"
"1.8nH","L1","Inductor_SMD:L_0402_1005Metric",""
"MUN5214DW1T1G","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6","C94403"
"PCJ3139K","Q2","Package_TO_SOT_SMD:SOT-723",""
"100k","R1,R10,R11","Resistor_SMD:R_0402_1005Metric","C25741"
"1k","R12","Resistor_SMD:R_0402_1005Metric","C11702"
"DNF_0402","R13","Resistor_SMD:R_0402_1005Metric",""
"2.2k","R2","Resistor_SMD:R_0402_1005Metric","C25879"
"3.3k","R3,R6","Resistor_SMD:R_0402_1005Metric","C25890"
"10k","R4,R5,R7","Resistor_SMD:R_0402_1005Metric","C25744"
"560k","R8","Resistor_SMD:R_0603_1608Metric","C23203"
"220k","R9","Resistor_SMD:R_0402_1005Metric","C25767"
"TS-1101-C-W","S1","TS1101CW","C318938"
"K3-1296S-E1","S2","K31296SE1","C128955"
"TestPoint_Alt","TP2,TP6,TP11","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"XXEBCCNAOD-40.000000MHZ","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C558782"
