Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BS-24-B4AK014,1,CR2450,C964813
"C1, C7",0402,2,1u,C52923
C10,1206,1,4.7u,C29823
"C11, C12, C13, C14, C2, C5, C6",0402,7,100n,C307331
C15,0402,1,10u_0402,C315248
"C3, C4, C8, C9",0805,4,10u,C15850
"D2, D3, D4, D5",0603,4,Green_0603,C72043
D6,B5819WSL,1,B5819W.SL,C8598
"H1, H2, H3",MountingHole_2.2mm_M2_Small,3,MountingHole,
IC1,ESP32C3MINI1N4,1,ESP32-C3-MINI-1-N4,C2838502
IC2,SOT95P280X130-5N,1,XC6227C331MR-G,C216640
IC3,QFN50P300X300X100-17N-D,1,BQ24073RGTR,C15220
IC4,LSM6DSLTR,1,LSM6DSLTR,C126672
IC5,QFN50P500X500X80-29N-D,1,CP2102N-A02-GQFN28R,C6568
J1,GT-USB-7010A,1,GT-USB-7010,C963370
J2,SHDRRA2W50P0X200_1X2_600X760X510P,1,PH-2RA,C225207
"JP1, JP2",SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,2,SolderJumper_3_Bridged12,
Q1,SOT-363_SC-70-6,1,MUN5214DW1T1G,C94403
"R1, R18, R19, R3",0402,4,10k,C25744
"R10, R11, R2",0402,3,2.2k,C25879
"R12, R13, R14, R15, R5",0402,5,51k,C25794
R16,0603,1,560k,C23203
R17,0402,1,220k,C25767
"R20, R4",0402,2,1k,C11702
"R7, R9",0402,2,1.5k,C25867
R8,0402,1,100k,C25741
"S1, S2",TS1101CW,2,TS-1101-C-W,C318938
S3,K31296SE1,1,K3-1296S-E1,C128955
TH1,0402,1,10k_NTC,C333993
TP11,TestPoint_Pad_1.0x1.0mm,1,TestPoint_Alt,
