Designator,Mid X,Mid Y,Rotation,Layer
BT1,15.0,-4.05,90.0,bottom
C1,13.1,2.8,90.0,top
C10,28.0,4.9,180.0,top
C11,17.9,11.48,270.0,top
C12,18.9,11.48,270.0,top
C13,21.0,19.22,270.0,top
C14,20.0,19.24,270.0,top
C15,22.0,19.24,270.0,top
C2,4.4,2.8,90.0,top
C3,20.1,6.7,90.0,top
C4,6.7,2.8,0.0,top
C5,11.22,26.4,0.0,top
C6,11.17,-4.525,0.0,top
C7,26.72,1.46,0.0,top
C8,16.4,-3.0,270.0,top
C9,17.35,4.2,0.0,top
D2,17.1,7.45,270.0,top
D3,10.0,2.5,180.0,top
D4,23.92,-4.24,270.0,top
D5,26.62,-2.84,270.0,top
D6,23.1,6.1,90.0,top
IC1,8.2,11.5,90.0,top
IC2,17.4,0.95,90.0,top
IC3,23.52,-0.44,0.0,top
IC4,21.0,11.5,270.0,top
IC5,18.69,23.34,90.0,top
J1,28.625,11.5,90.0,top
J2,26.75,26.75,90.0,bottom
Q1,16.6,17.7,0.0,top
R1,15.9,14.7,180.0,top
R10,25.3,-4.54,90.0,top
R11,28.0,-3.1,270.0,top
R12,20.32,-1.24,180.0,top
R13,26.72,-0.74,0.0,top
R14,22.73,2.26,180.0,top
R15,22.12,-3.14,180.0,top
R16,16.4,13.2,180.0,top
R17,15.865,11.9,0.0,top
R18,23.2,10.31,90.0,top
R19,23.2,12.61,270.0,top
R2,18.5,7.17,90.0,top
R20,22.81,22.34,180.0,top
R3,9.2,-4.6,0.0,top
R4,12.1,2.8,90.0,top
R5,24.73,2.26,0.0,top
R7,26.71,0.36,0.0,top
R8,18.4,-1.7,0.0,top
R9,20.82,1.76,90.0,top
S1,8.0,23.0,0.0,top
S2,7.9,-1.125,0.0,top
S3,31.0,23.0,270.0,top
TH1,20.32,0.26,180.0,top
